screen_id,title,rest_or_socket,event,authority,idempotency,offline,retry,minimum_ui_states
DB-AUTH-006,Sign in,POST /auth/login,auth.login,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-007,Create account,POST /auth/register,auth.register,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-008,Age & legal eligibility,POST /legal/acceptance,legal.accept,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-009,Verify your contact,-,verification.sent,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-010,Verification code,POST /auth/verify,verification.submit,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-011,Forgot password,POST /auth/password/forgot,password.request,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-012,Reset password,POST /auth/password/reset,password.reset,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-013,Password reset,-,password.reset.success,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-014,Terms acceptance,-,legal.accept,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-015,Restoring session,-,session.restore,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-016,Use biometric sign in,-,biometric.prompt,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-AUTH-017,Account created,-,account.created,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-001,Home / Lobby,GET /lobby,lobby.ready,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-002,Home loading,GET /lobby,lobby.loading,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-003,No recent matches,-,lobby.empty,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-004,Open Arena,GET /matches/open,arena.loaded,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-005,Arena filters,-,arena.filter,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-006,Open match details,GET /matches/:id,match.opened,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-007,Join match confirmation,POST /matches/:id/join,match.join.request,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-008,Match unavailable,-,match.unavailable,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-009,Quick match setup,POST /matchmaking,matchmaking.start,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-010,Searching for opponent,DELETE /matchmaking,matchmaking.searching,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-011,No opponent found,-,matchmaking.empty,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-012,Incoming challenge,POST /challenges/:id/respond,challenge.received,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-013,Challenge sent,DELETE /challenges/:id,challenge.sent,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-014,Challenge declined,-,challenge.closed,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-015,Player search,GET /players/search,players.search,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-016,Public player profile,GET /players/:id,player.opened,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-017,Create match,POST /matches/quote,match.create.quote,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-018,Create match quote,POST /matches,match.create,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-019,Private room code,POST /matches/:id/cancel,room.created,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-020,Match confirmation,POST /matches/:id/confirm,match.confirm,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-021,Insufficient balance,-,wallet.insufficient,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-022,Eligibility blocked,-,eligibility.blocked,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-023,Locking stake,POST /matches/:id/lock,stake.locking,SERVER_AUTHORITATIVE,REQUIRED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,LOOK_UP_EXISTING_OPERATION_BY_IDEMPOTENCY_KEY_BEFORE_RETRY,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-024,Waiting for opponent stake,GET /matches/:id,stake.waiting,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-025,Ready check,POST /matches/:id/ready,ready.check,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-026,Waiting for opponent ready,GET /matches/:id,ready.waiting,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-027,Ready timeout,-,ready.timeout,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-028,Opponent disconnected,-,prematch.disconnect,CLIENT_PRESENTATION,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
