screen_id,legacy_state_no,title,section,kind,subtitle,cta,secondary,route_or_overlay,event,endpoint,authority,visual_status,approved_visual_refs,offline_behavior,retry_policy,idempotency_required,implementation_status,design_status,nav
DB-AUTH-001,1,Splash,Auth & onboarding,splash,Play smart. Compete fairly.,,,/auth/splash,,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-002,2,Your skill. Your match.,Auth & onboarding,onboarding,Compete against real players in live draught matches.,Next,Skip,/auth/your-skill-your-match,,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-003,3,Every move counts.,Auth & onboarding,onboarding,Verified rules and server-controlled game logic.,Next,Skip,/auth/every-move-counts,,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-004,4,Know where your money goes.,Auth & onboarding,onboarding,"See your stake, payout and settlement clearly.",Get started,Skip,/auth/know-where-your-money-goes,,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-005,5,Welcome,Auth & onboarding,welcome,Play draughts. Prove your skill.,Create account,Sign in,/auth/welcome,,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-006,6,Sign in,Auth & onboarding,form,Enter your details to continue.,Sign in,Forgot password?,/auth/sign-in,auth.login,POST /auth/login,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-007,7,Create account,Auth & onboarding,form,Let us get you started.,Create account,Sign in,/auth/create-account,auth.register,POST /auth/register,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-008,8,Age & legal eligibility,Auth & onboarding,form,You must be 18+ and eligible to play in Nigeria.,Confirm eligibility,Review terms,/auth/age-legal-eligibility,legal.accept,POST /legal/acceptance,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-009,9,Verify your contact,Auth & onboarding,message,We sent a verification code to your contact.,Enter code,Change contact,/auth/verify-your-contact,verification.sent,,CLIENT_PRESENTATION,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-010,10,Verification code,Auth & onboarding,otp,Enter the 6-digit code.,Verify,Resend code,/auth/verification-code,verification.submit,POST /auth/verify,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-01 | VIS-06,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-011,11,Forgot password,Auth & onboarding,form,Enter your email or phone to recover access.,Send code,Back to sign in,/auth/forgot-password,password.request,POST /auth/password/forgot,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-012,12,Reset password,Auth & onboarding,form,Create a strong new password.,Reset password,Cancel,/auth/reset-password,password.reset,POST /auth/password/reset,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-013,13,Password reset,Auth & onboarding,success,Your password has been changed securely.,Sign in,,/auth/password-reset,password.reset.success,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-014,14,Terms acceptance,Auth & onboarding,legal,"Review the Terms, Privacy Notice and game rules.",Accept and continue,Decline,/auth/terms-acceptance,legal.accept,,CLIENT_PRESENTATION,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-015,15,Restoring session,Auth & onboarding,search,Checking your secure session and device.,,,/auth/restoring-session,session.restore,,CLIENT_PRESENTATION,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
