screen_id,title,section,phase,implementation,api_contract,widget_test,accessibility,visual_qa,product_approval,notes
DB-AUTH-001,Splash,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,N/A,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-002,Your skill. Your match.,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,N/A,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-12
DB-AUTH-003,Every move counts.,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,N/A,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-004,Know where your money goes.,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,N/A,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-005,Welcome,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,N/A,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-006,Sign in,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-007,Create account,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-008,Age & legal eligibility,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-AUTH-009,Verify your contact,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-010,Verification code,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01 | VIS-06
DB-AUTH-011,Forgot password,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-AUTH-012,Reset password,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-AUTH-013,Password reset,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-AUTH-014,Terms acceptance,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-015,Restoring session,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-016,Use biometric sign in,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-AUTH-017,Account created,Auth & onboarding,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-MATCH-001,Home / Lobby,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-11
DB-MATCH-002,Home loading,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-11
DB-MATCH-003,No recent matches,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-12
DB-MATCH-004,Open Arena,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-MATCH-005,Arena filters,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-MATCH-006,Open match details,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-02 | VIS-03 | VIS-12
DB-MATCH-007,Join match confirmation,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-02 | VIS-03 | VIS-12
DB-MATCH-008,Match unavailable,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-02 | VIS-03 | VIS-12
DB-MATCH-009,Quick match setup,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-01 | VIS-12
DB-MATCH-010,Searching for opponent,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-MATCH-011,No opponent found,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-MATCH-012,Incoming challenge,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-MATCH-013,Challenge sent,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-MATCH-014,Challenge declined,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-01
DB-MATCH-015,Player search,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-02 | VIS-03
DB-MATCH-016,Public player profile,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-06
DB-MATCH-017,Create match,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-12
DB-MATCH-018,Create match quote,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-12
DB-MATCH-019,Private room code,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-02 | VIS-11
DB-MATCH-020,Match confirmation,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-12
DB-MATCH-021,Insufficient balance,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-02
DB-MATCH-022,Eligibility blocked,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-02
DB-MATCH-023,Locking stake,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-02 | VIS-03
DB-MATCH-024,Waiting for opponent stake,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-02
DB-MATCH-025,Ready check,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-02 | VIS-03
DB-MATCH-026,Waiting for opponent ready,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-02
DB-MATCH-027,Ready timeout,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-02 | VIS-03
DB-MATCH-028,Opponent disconnected,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-04
DB-MATCH-029,Match found,Home & matchmaking,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-12
DB-GAME-001,Match room,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-12
DB-GAME-002,Live match,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-12
DB-GAME-003,Move selection,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-GAME-004,Mandatory capture,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-06 | VIS-07
DB-GAME-005,Multi-capture,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-06 | VIS-07
DB-GAME-006,King promotion,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-GAME-007,Opponent thinking,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00
DB-GAME-008,Illegal move,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-06
DB-GAME-009,Draw offer received,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-06
DB-GAME-010,Offer a draw,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-06 | VIS-07
DB-GAME-011,Draw rejected,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-06 | VIS-07
DB-GAME-012,Resign match,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-00 | VIS-07 | VIS-12
DB-GAME-013,Connection lost,Live gameplay,PHASE_1_MVP,NOT_STARTED,MAP_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING_HANDOFF_REVIEW,Use VIS-06
