visual_id,board_title,frame_index,legacy_label,role,status
VIS-00,Core foundations and screens 1-18,1,1 Splash Screen,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,2,2A Onboarding - Your skill. Your match.,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,3,2B Onboarding - Every move counts.,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,4,2C Onboarding - Know where your money goes.,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,5,3 Welcome,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,6,4 Sign In,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,7,5 Sign Up,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,8,6 Home / Lobby,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,9,7 Arena / Open Matches,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,10,8 Create Match,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,11,9 Match Confirmation,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,12,10 Match Found,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,13,11 Match Room,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,14,12 Gameplay / Live Match,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,15,13 Move Selection,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,16,14 Capture / Flying King,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,17,15 King Promotion,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,18,16 Opponent Thinking,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,19,17 Victory Screen,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-00,Core foundations and screens 1-18,20,18 Defeat Screen,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-01,Authentication recovery and challenges 19-30,1,19 Forgot Password,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-01,Authentication recovery and challenges 19-30,2,20 Verification Code,primary,CLIENT-APPROVED VISUAL SOURCE
VIS-01,Authentication recovery and challenges 19-30,3,21 Reset Password,primary,CLIENT-APPROVED VISUAL SOURCE
