visual_id,filename,title,group,role,status,frame_count,dimensions,sha256
VIS-00,00-core-foundations-screens-001-018.jpeg,Core foundations and screens 1-18,Core,primary,CLIENT-APPROVED VISUAL SOURCE,20,1536x1024,826bb4d987a02116f2359167332637b3c74e96cf33343ee50dea54edd993be07
VIS-01,01-auth-recovery-challenges-019-030.png,Authentication recovery and challenges 19-30,Auth & matchmaking,primary,CLIENT-APPROVED VISUAL SOURCE,12,1536x1024,15cabb87ec140466e0ff62166cb37024c514cd4d533fba70b2127b3375c0f677
VIS-02,02-match-entry-stake-ready-031-042.png,"Match entry, stake and ready states 31-42",Matchmaking & stake,primary,CLIENT-APPROVED VISUAL SOURCE,12,1536x1024,7922b31e8b14a42b3bfb34a9caff1f3a73426e4ad526faf2fc4206cf03c014c3
VIS-03,03-match-entry-stake-ready-alternate.png,Approved alternate match-entry compositions,Matchmaking & stake,alternate,CLIENT-APPROVED VISUAL SOURCE,10,1536x1024,4abf11a3edf827e70a221f4884d23f30cfaac0c86d3367e132be27b86b9cf1a2
VIS-04,04-wallet-deposits-transactions-043-054.png,"Wallet, deposits and transactions 43-54",Wallet & deposits,primary,CLIENT-APPROVED VISUAL SOURCE,12,1536x1024,52368d1cb982819983a583fc41b4e8f7d40aad4bdd32c6c4b42a688ba2ba5e07
VIS-05,05-withdrawals-kyc-055-066.png,Withdrawals and KYC 55-66,Withdrawals & KYC,primary,CLIENT-APPROVED VISUAL SOURCE,12,1536x1024,5f0828146b3c5c79730ebefdd4be5fed88f75271aea8397785f8c626ea73234d
VIS-06,06-profile-support-gameplay-067-078.png,"Verification, profile, support and gameplay states 67-78","KYC, account & gameplay",primary,CLIENT-APPROVED VISUAL SOURCE,12,1536x1024,1d21f2d8332157fd132dab2c8933ae60c7f863b85977e4050fa012806f9a9bd1
VIS-07,07-gameplay-results-settlement-079-090.png,"Gameplay decisions, results and settlement 79-90",Gameplay & settlement,primary,CLIENT-APPROVED VISUAL SOURCE,12,1536x1024,24b9bc78d9182d834e556b42986c1d895cd24f4eed45020deb1d3d5b0c9ee648
VIS-08,08-settings-security-safer-play-091-102.png,"Settings, security and safer-play controls 91-102",Account & safer play,primary,CLIENT-APPROVED VISUAL SOURCE,11,1536x1024,1af10c5deb328ed117445e5d3349087edaf088eb4c7c56cee779e307ec9bc9aa
VIS-09,09-operational-legal-disputes-096-107.png,"Operational, legal and dispute states 96-107","System, legal & disputes",primary,CLIENT-APPROVED VISUAL SOURCE,12,1536x1024,9576ecef806ce60d7bfb2f955440f824c1749fed9c9713adbdc5a57cd6a607d9
VIS-10,10-empty-loading-error-states-108-119.png,"Empty, loading, validation and failure states 108-119",Operational states,primary,CLIENT-APPROVED VISUAL SOURCE,12,1536x1024,6166299659bc421ab6a6736e269594f78e449508362fbe83b8c1c0f998291dcc
VIS-11,11-tier-callout-extra-flow.png,Tier and call-out flow additions,Tier & call-outs,extension,CLIENT-APPROVED VISUAL SOURCE,12,1536x1024,7a0351c989a05e5cce4e3c12c58546d2a5745ea740b0ddf4a7e44372b9ba674d
VIS-12,12-postgame-disputes-safer-play-extra.png,"Post-game, dispute and safer-play additions",History & disputes,extension,CLIENT-APPROVED VISUAL SOURCE,12,1024x1536,6f83262919b2c173fd0a912e1dd6ac1519092d67870d965d2162a0b990f4a594
VIS-13,13-money-lifecycle-extra-states.png,Money lifecycle state board,Money lifecycle,extension,CLIENT-APPROVED VISUAL SOURCE,11,1536x1024,d28cec16b353e5459ad8c0e9c8cfdb41a80936344b8ac391ee6b675c4ab4df17
VIS-14,14-withdrawal-status-variants.png,Withdrawal status variants,Withdrawals,extension,CLIENT-APPROVED VISUAL SOURCE,4,1536x1024,5f777da426e3f64feafa5471e5061c442ec4c66a0515e94ec13392d6a7dbd15a
